Name,10_H2S_CH4,50_H2S_CH4,10_CO2_CH4,50_CO2_CH4
RWY_0,7.80E-01,7.20E-01,9.28E-01,1.08E+00
SAF_0,6.42E-01,6.39E-01,8.74E-01,1.01E+00
SAF_1,6.58E-01,6.06E-01,8.61E-01,1.084639383
SAO_0,6.88E-01,6.91E-01,9.96E-01,9.96E-01
SAO_1,6.93E-01,6.70E-01,9.90E-01,1.033614217
SAS_0,6.72E-01,6.94E-01,9.50E-01,9.69E-01
SAS_1,6.93E-01,6.74E-01,9.60E-01,1.027783783
SAT_0,5.89E-01,5.18E-01,8.72E-01,1.135911269
SAT_1,5.65E-01,5.18E-01,8.10E-01,1.089444395
SAV_0,6.72E-01,6.57E-01,9.07E-01,1.02E+00
SBE_0,6.96E-01,6.69E-01,7.49E-01,1.04E+00
SBS_0,7.08E-01,6.86E-01,9.42E-01,1.03E+00
SBT_0,7.05E-01,6.85E-01,9.49E-01,1.03E+00
SEW_0,6.06E-01,5.76E-01,7.25E-01,1.05E+00
SEW_1,6.12E-01,5.77E-01,7.36E-01,1.06E+00
SFE_0,6.65E-01,6.40E-01,8.69E-01,1.04E+00
SFE_1,6.37E-01,6.31E-01,8.54E-01,1.01E+00
SFF_0,6.54E-01,6.67E-01,9.42E-01,9.81E-01
SFF_1,6.58E-01,6.81E-01,8.75E-01,9.66E-01
SFG_0,6.08E-01,5.85E-01,7.99E-01,1.04E+00
SFG_1,6.12E-01,5.76E-01,7.89E-01,1.06E+00
SFH_0,6.81E-01,6.71E-01,9.62E-01,1.02E+00
SFH_1,6.76E-01,6.47E-01,9.35E-01,1.04E+00
SFN_0,6.92E-01,6.44E-01,9.36E-01,1.08E+00
SFN_1,6.76E-01,6.83E-01,9.41E-01,9.90E-01
SFO_0,7.17E-01,6.83E-01,9.04E-01,1.05E+00
SFS_0,6.36E-01,6.02E-01,7.75E-01,1.06E+00
SFS_1,6.10E-01,5.74E-01,7.45E-01,1.06E+00
SFW_0,6.62E-01,6.20E-01,8.46E-01,1.07E+00
SFW_1,6.58E-01,6.23E-01,8.29E-01,1.06E+00
SIV_0,7.02E-01,5.90E-01,5.38E-01,1.19E+00
SOF_0,7.50E-01,6.59E-01,7.75E-01,1.14E+00
SOR,6.55E-01,5.79E-01,8.78E-01,1.13E+00
SOS_0,8.33E-01,7.36E-01,9.51E-01,1.13E+00
SOV,6.22E-01,6.14E-01,9.21E-01,1.01E+00
SSF_0,6.61E-01,6.47E-01,9.24E-01,1.02E+00
SSF_1,6.53E-01,6.09E-01,9.31E-01,1.07E+00
SSY_0,6.64E-01,6.33E-01,9.16E-01,1.05E+00
SSY_1,6.41E-01,6.06E-01,8.78E-01,1.06E+00
STF_0,6.92E-01,6.53E-01,8.83E-01,1.06E+00
STF_1,6.58E-01,6.61E-01,8.97E-01,9.95E-01
STI_0,5.95E-01,5.17E-01,8.47E-01,1.150032412
STI_1,5.95E-01,5.39E-01,8.19E-01,1.10E+00
STI_2,5.92E-01,5.43E-01,8.21E-01,1.089816357
STI_3,5.92E-01,5.54E-01,8.04E-01,1.07E+00
STO_0,6.57E-01,6.11E-01,8.92E-01,1.08E+00
STO_1,6.36E-01,6.15E-01,8.53E-01,1.03E+00
STT_0,6.38E-01,6.15E-01,8.53E-01,1.03824582
STT_1,6.13E-01,6.08E-01,8.63E-01,1.009445324
STW_0,6.33E-01,6.07E-01,7.21E-01,1.04E+00
SVR_0,5.84E-01,5.52E-01,6.62E-01,1.056946513
SVR_1,5.79E-01,5.36E-01,6.70E-01,1.080312472
SWY,5.62E-01,5.17E-01,8.36E-01,1.085810942
SZR_0,6.10E-01,5.96E-01,7.17E-01,1.02E+00
SZR_1,6.09E-01,6.01E-01,7.43E-01,1.01E+00
TER_0,6.31E-01,5.75E-01,7.18E-01,1.10E+00
TER_1,6.29E-01,5.60E-01,7.20E-01,1.12E+00
